channel_id,channel_title,subscribers,total_views,video_count,description
UCYqksDldZTkKmsrBb4OGJ9g,Toddler Learning Videos For Kids - Lucas & Friends,1760000,977640609,164,"Calling all parents and caregivers. Looking for a fun and engaging way to help your little ones learn and grow? Look no further than Lucas & Friends By RV AppStudios!

Our vibrant YouTube channel is bursting with colorful, educational toddler videos, catchy nursery rhymes, and kids songs. We don't just entertain – we educate! Join Lucas & Friends on a learning adventure where your child can:

- Master their ABCs (alphabets) and counting 123s (numbers).
- Explore a world of shapes and vibrant colors.
- Develop essential life skills, from learning to talk to practicing good behavior.

We cater to babies, toddlers, and preschoolers, making learning fun and accessible for every stage. Did you know Lucas & Friends started as a mobile app as a passion project? Today, over 750 million kids around the world have used our free apps (ages 2-7) – all with no ads! We never imagined building a kids brand one day. Thank you!

So come on, subscribe to our channel and join the Lucas & Friends family.
"
UCKg5OH7nedRD-S3Ex0cc_4A,Baby Cars | Kids Songs,1690000,742277464,396,"Welcome to Baby Cars - our Kids Song channel! 🎉
Get ready for road adventures 🏎️🚓 and fun songs! 🌈🎶 Listen, play and move with animated cars and friends! 💃🥁🎸🎺🕺 On our channel, you will find fun cartoons about little cars and their animal friends! 🚗 😸 🚌 🐨 🚜 🦊
Each cartoon is a new story full of adventure and fun. 🤩 Cars and animals play together, learn new things and help each other! 👍 Our cartoons feature simple child songs that will help your little ones learn to count, sing and dance. 🎺 They also develop imagination, creativity and social skills in children! 😃 
Join us and watch our cartoons with your children! ❤️ Subscribe to our channel 🔔 and enjoy our cartoons! 💖💖💖
#babycars #kidssongs #babysongs #babycar #cars #car #forkids #policecar #policecartoon #police_car #baby #wheelsonthebus #bus #babybus #monstertruck #ambulance #carsonyoutube #childrenscartoons #childrenssongs #educationalcartoons #learningcartoons #funcartoons #adventurecartoons #animalscartoons #carscartoons
"
UCewxcWJd20P0dzo-Fk0xWdg,Listener Kids,1640000,856178518,176,"💓 We create music videos kids love, with faith-based values parents' love. 💓

We believe you are never too young to praise God!

Listener Kids is the leading provider of lovable Christ-centered music and videos that are just as good, if not better, than secular kids' content.

Rejoice! You can have ""peace"" and ""joy"" about what your kids are watching.

At Listener Kids, we create modern, revamped versions of classic Sunday school and Bible songs. Our music videos not only get kids singing and dancing but also growing in faith.

www.listenerkids.com
http://www.listenerkids.com"
UCXVCgDuD_QCkI7gTKU7-tpg,Nat Geo Kids,1320000,247290890,1006,"Get new videos every week with facts about science, animals, and more! Subscribe to Nat Geo Kids magazine: natgeo.com/ytkidsmagazine

Fuel kids' curiosity with magazines designed to inspire and empower children ages 3 and up: natgeo.com/ytkidsmagazine

➡ Subscribe: https://www.youtube.com/@natgeokids

Watch the newest videos on Nat Geo Kids YouTube here: https://www.youtube.com/playlist?list=PLQlnTldJs0ZQExTCjWSXXkCdfSvpjT5cO
"
UCRFIPG2u1DxKLNuE3y2SjHA,SciShow Kids,1260000,335095114,599,"From the team behind the YouTube series SciShow comes SciShow Kids! 

Every other week, join host Jessi, her robot rat friend Squeaks, and all their friends at the Fort as they explain fun, complex science concepts for young, curious minds. Whether conducting experiments, researching new questions, or talking with experts, there’s always something new to discover with SciShow Kids, no matter what your age!

SciShow Kids is ideal for early-elementary learners, Grades 1-3, and most episodes are structured around the Next Generation Science Standards (NGSS) curriculum.
"
UC-qvsP9s1az2_7HqYfSiO6w,니니키즈,1120000,613787671,656,"💛니니키즈 한국 공식채널 [NINIkids Official YouTube Channel]💛
수호요정 니니키즈들과 함께 즐겁게 어린이 콘텐츠를 시청해보아요!
니니키즈는 (주)북이십일에서 운영하는 어린이 콘텐츠 대표 채널 입니다🌸

💛니니키즈 캐릭터 소개💛
- 꼬니 : 노랑색 너구리 모습! 귀엽고 항상 궁금한 것이 많은 캐릭터!
- 써미 : 분홍색 고양이 모습! 새침떼기 공주같지만 정이 많은 캐릭터!
- 쏘니 : 초록색 펭귄 모습! 참을성이 부족하지만 털털하고 의리있는 캐릭터!
- 떠니 : 보라색 토끼 모습! 혼자 있길 좋아하고 차갑지만 허당끼 가득한 캐릭터!
- 찌니 : 하늘색 악어 모습! 말이 없고 조용하지만 착하고 마음이 넓은 캐릭터!
- 쩌리 : 노랑색 악어새 모습! 수다쟁이에 질투도 많지만 속이 여린 캐릭터!

💛니니키즈 구독하고 우리 함께 꿈을 키워보아요!💛


📬비즈니스 문의
영상 제작 및 라이센싱 등 기타문의는 아래 메일주소로 연락바랍니다.
jieun_lee@book21.co.kr


니니키즈의 모든 콘텐츠들은 법적으로 보호를 받고 있습니다.
저작권자의 허락없이 무단 사용시 저작권법에 의거하여 불법으로 간주됩니다.

Copyright © BOOK21 Co., Ltd. All Rights Reserved.
"
UCqb89GqploCXgz4lsdR-_ww,Kids Academy,956000,268801762,716,"👋 Try with FREE Month ➡️  http://surl.li/dwgkaw
Learning Website for Pre-K to 3rd Grade. 
"
UCTPSb6BE8Qxltodm96M5lew,K-I-D-S Learning Videos,947000,188747777,41,"🚗 K-I-D-S Learning Videos: City of Little Cars - A Lot of videos with Trucks, Excavators, Tractors, Garbage Trucks and other street vehicles! 

🚌 Welcome to the Thrilling World of Street Vehicles - where the excitement of the city streets meets the magic of your favorite Disney Cars characters like Lightning McQueen, Mack the Truck, and more. 

🚚 Our channel is dedicated to bringing a spark of joy and a dash of learning to young minds through a delightful array of videos featuring a variety of trucks, excavators, tractors, garbage trucks, and beloved characters from Disney's Cars.

🚜 Educational & Fun: Each video is a learning opportunity, introducing kids to the fascinating functions and roles of different street vehicles in an engaging and relatable way.

🚛 Get ready to zoom into a world where learning meets play, and the streets are filled with the wonders of vehicles and the charm of Disney's Cars. Let's explore, learn, and have endless fun together!
"
UC5LkU2y50pyN8j1JDgEmjwg,Kids2Kids,657000,920238117,735,"If your kids are inspired to play while watching, mission accomplished! 
KIDS2KIDS, PO BOX 130691, Ann Arbor, MI 48113
"
UCGxE9I3vpwj9973SaW72tqg,Kids Learn and Grow - Educational Videos,414000,229025683,164,"We inspire kids to learn through play! Our preschool-level educational videos focus on engaging young minds with colors, toys, music, and puzzles. This channel is managed by a certified teacher with over 20 years of experience educating children. If you would like more tips, tools, and resources to support your toddler through their education journey, then check out our website www.kidslearningandgrowing.com.



"
UCByq-1ptu3MhFzdENEHTf4A,수지키즈 Suji Kids,359000,140305006,758,"
*비즈니스/광고 문의 bizalive@naver.com
"
UCTc15uvrhUmW044MfJG4HHw,Kids Tv Korea - 어린이동요,324000,120138324,1048,"우리의 채널에 오신 것을 환영합니다, Kids Tv Korea 우리는 젊은 사람들을위한 유치원 음악과 어린이 노래 모음을 가지고 배우고 함께 노래 할 수 있습니다.
아이들은, 인기 동요와 노래와 비디오를 학습 또한 차량은 3D에서 어린이에 대한 비디오를 학습."
UCwHO92Tu97JWHzl3RmadNug,Mindful Kids,312000,60623949,115,"🎵 Welcome to Mindful Kids – Your Family's Musical Haven! 🌟

About Us:
We're Britt Mari & Kenneth, passionate about creating a positive, tranquil space for families. Our channel offers a variety of music and meditations to enrich the lives of children and parents alike.

Our Offerings:
💠 Bedtime Music: Soothing tunes for sleep.
💠 Mindfulness & Meditation: Guided sessions for serenity.
💠 Study & Focus Music: Tracks for concentration at all ages.
💠 Nap Time Tunes: Gentle music for naps.
💠 Background Music: Ambient sounds for any setting.

Our Mission:
To foster a positive mindset in children, simplifying parenting and ensuring peaceful sleep and a thriving family environment.

Special Features:
💠 FREE High-Quality Music: Diverse, age-appropriate content.
💠 Positive Self-Image: Meditations and affirmations for children's esteem.

Join Us: Discover, relax, and grow with us. Start your journey to positivity!

Love, Britt Mari & Kenneth ❤️
"
UC05hjlrZcrqnbRguPkILkAg,만렙키즈 MAX LV. KIDS,208000,29180252,53,"만렙키즈 채널 안에서 성장하는 6명의 주인공들!

다양한 경험치를 쌓아 만렙을 향해 달려가는 귀염뽀짝 아이들의
유쾌, 발랄, 똑소리나는 채널!

지금 바로 구독하시고~ 레벨UP ⬆︎"
UCDMbHxjACpyM0qigvBms_Vw,똑똑키즈 TokTok Kids,151000,81424350,504,"똑똑한 엄마들이 선택한 키즈채널!
구독과 좋아요는 힘이 됩니다. 많이 사랑해주세요😄
"
UC8vP83Ekv5b_XKpUoAI0VCg,With Kids,142000,9829734,96,"With Kids is a channel about the adventures of Yejun and his family. Funny videos about cars, excavators, trucks on power wheels, videos for kids about superheroes, colored toys, hide and seek and much more ☀️"
UCiPJ1j3qk53FbblODbk-Riw,몬스터팩토리 키즈 (Monster Factory Kids),55000,11415203,297,"오디션 문의 / 레슨 문의
KakaoTalk : downs
010-4344-7009
"
UCIMmuidNJdncfMEelOU08Fg,Stray Kids - Topic,53600,1833819301,659,Stray Kids(스트레이 키즈) Official YouTube Music
UCy6pMErptP-pbIddOHDCXLw,CGN KIDS,36900,20881896,1850,"CGN kids 공식 채널입니다.
'예수님이 좋아요',  '나는야 주의 어린이' 등 키즈 맞춤 콘텐츠로 다음 세대 신앙교육을 돕는 유튜브 채널입니다.

[CGN 후원에 동참하기]
▶CGN 후원문의 : 02-796-2243
▶CGN ARS : 060-705-0000 (한 통화에 10,000원)
▶CGN 후원페이지 : https://bit.ly/Supportcgntv

[IPTV 방송채널번호]
 - KT Olleh TV : 237번 / SK Btv : 302번 / LG U+ tv : 271번
[케이블 방송채널번호]
 -LG 헬로비전 : 288번 / D'Live 304 / 현대 HCN (서울 서초구) 550

[퐁당 OTT 앱 다운로드] 
 - http://www.fondant.kr/about/download.html

[CGN 라이브앱] 
-  각 OS별 마켓에서 'CGNTV Live' 검색 후 다운로드 

[CGN 웹사이트] 
 - www.m.cgntv.net

[인스타그램] 
- https://www.instagram.com/cgn_korea/

[페이스북]
 - www.facebook.com/cgnfriends/
"
UC8N8Kq2O7YcvF9C0nZuPT-Q,HOTSON KIDS TV핫슨키즈티비,34500,34388599,174,"HOTSON KIDS TV: 우리 아이들의 한글, 숫자, 색깔 등 재미있는 영상을 만나보세요!

핫슨키즈티비 영상과 함께 우리아이들의 창의력과 무한한 상상력을 키워줄거에요.

한글: ㄱㄴㄷㄹ...
숫자: 1 2 3 4 ...
알파벳: A B C D ...
색깔놀이: 빨강, 노랑, 파랑, 초록 ...

멋진 모험과 새로운 배움을 우리와 함께 하세요."
UCv8LawJRkCwaYndgy0nu60w,키즈멜로디Kids Melody,30800,24850885,392,"전세대가 공감할 수 있는 감성동요 플레이리스트 

교육부장관상을 수상한 동요작곡가가 운영하는 
'키즈멜로디' 채널은 창작동요대회에서 수상한 곡들을 
애니메이션과 수채화 영상으로 만나볼 수 있는 채널입니다.
잔잔한 동요부터 신나는 동요들로 여러분의 감수성을 지켜드릴게요😍😍


🔸 교과서 수록 인기동요
🔸 수채화로 감상하는 감성동요
🔸 주제별 동요 전문 플레이리스트
🔸 드라마, 예능 방송에 자주 나오는 동요
🔸 공공기관 음악 전시물로 자주 소개되는 동요


💫 제휴 문의
💫 악보, MR 문의
💫 음원 사용 문의
💫 교가 작곡 및 제작 문의


👇 지금 바로 의견 남기기 👇
💜구독자 사연이 동요가 되는 키즈멜로디💜 
https://forms.gle/UNQ1UYLSisRWxzWVA


💌인스타: @kidsmelody_official
💌메일: kidsmelodylove@gmail.com"
UCa_QiDZoCBU5Gn6gwpDIcwA,Ana's KIDS Diary 아나의 일기,28800,19800406,97,"Hello, I'm Ana. 

Ana's meaning is the name that started with my favorite Disney character Moana. 

It also means ""child and me"" in Korean. 

I will always make videos for both my child and me.

I hope these videos make you happy, too.

Thank you! :)

Instagram @ana_self_diary 




안녕하세요 Ana입니다.

아나의 의미는 제가 제일 좋아하는 디즈니 캐릭터 모아나에서 시작된 이름입니다. 

또한 ""아이와 나""의 의미를 담고 있기도 합니다. 

항상 아이와 나 모두를 위해 동영상을 만들겠습니다.

당신도 이 영상을 보며 행복하길 바랍니다.

감사합니다^^


인스타그램 @ana_self_diary 


 
"
UCeKEl0FwodmXI0Sf6ThZmGQ,Kids Draw ,28500,19398958,196,"Art & English education channel for children.

Welcome to [Kid’s Draw], where we blend the excitement of nature and animals with the joy of learning English vocabulary! Our channel is a fun-filled destination for kids to explore new words and express themselves, all while enjoying the beauty of the natural world. Dive in and discover a playful way to enhance your language skills!

This is a very small channel, so your support mean a lot to us! Please subscribe & like our channel if you like our videos.

Contents will be uploaded every Thursday :)

-----------------------------------------------

아동 미술/교육 채널 키즈드로우 (Kids Draw)입니다.

엄마의 마음으로 우리 아이가 안심하고 시청할 수 있는 
섬세하고 아름다운 미술 콘텐츠를 만듭니다.
저자극 디지털드로잉을 통해 아이가 그림을 그려지고 컬러링되는 과정을 보면서 예술적인 감각을 깨우고 정확한 한글과 영어로 사물의 이름을 공부할 수 있도록 노력하고 있습니다.

작은 채널이지만 많이 사랑해주세요!
구독과 좋아요는 창작자에게 큰 힘이 됩니다!

매주 목요일 PM12:00 업로드 됩니다 :)

-----------------------------------------------

#아동#미술#교육#영어공부#learning english"
UCpsxCqG0PIUx75o36Si4ptA,Chaipang Kids,6590,10367219,156,"🌈 Wecref Co., Ltd. aims to create a fantasy world for children around the world, both online and offline, by creating and providing 'highly informative, safe, and exciting content'.
🦄 Chaipang Kids is a children's educational content that children from all over the world can learn on their own while playing, singing, and having fun with 'Chaipang Friends' in the 'Fantasy world of Chaipang'. 
🐲 Chaipang Kids is expanding its business area, focusing on educational content such as Chaipang Chinese, Chaipang Math, Chaipang English, and so on. 
🧜‍♀️ In addition to producing children's educational content based on the app, we also enhance educational effectiveness by operating educational YouTube channels and publishing books and textbooks.
"
UCE61TG3ITuotoKib1D1mZAg,캔송키즈 Can Song Kids,5170,1665507,166,
UCKawbGax0TrYBpQ1kVpaHBg,이티오즈키즈  ETOZ Kids  어린이 교육,2280,1921410,785,"‘이티오즈키즈(ETOZ Kids)’는  어린이들에게 재미와 교훈을 주는 
노래, 동화, 상황극 등 교육영상 콘텐츠를 제공하고 있습니다. 
흥미로운 영상은 꾸준히 업데이트되니 구독을 통해 많은 시청과 이용 바랍니다. 
감사합니다 "
UCrvHguTfbaQBYOUJDMCVgkg,Don't Mess with My Kids ,100,990,19,"English Solicitor and Korean Attorney, Ph.D. in Law (former research professor at Korea University), and expert in legislative policy (drafting bills, authoring reports directly submitted to the President and Parliament) have verified 5,000 documents! 
Uncovering the hidden truth and mechanisms beneath political agendas with logical analysis! Learn both Korean and English (subtitles in both languages, comparison of Korean and English versions)! 
Insight of this era! 
Humor and entertainment infused with insightful criticism!

Protect our kids from political agendas!
Uphold the Bible & the Gospel with rationale!


한국 & 영국 변호사, 법학박사(전 고려대학교 연구교수) & 입법정책 전문가(보고서 대통령, 국회 직접 보고됨)가 5천개 문헌을 검증!
정치적 아젠다 이면에 감추어진 진실과 메커니즘을 파헤치는 논리!
한글과 고급 영어의 습득 (한글 & 영어 자막, 한글 & 영어 버전 비교)!
시대를 관통하는 지혜!
비평이 담긴 재미와 유머!

정치적 아젠다로부터 우리 아이들을 지킨다!
이성적으로 성경과 복음도 지킨다!

email :  dmwmk0602@gmail.com
"
